"Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description","Location","Private"
"ЗАМ; БГЭУ: 4/313; (ЦТПД); 24 ДКР-124 ДКУ-1; (лек-8); неделя: 6","10/08/2025","13:05","10/08/2025","14:25","False","Зеневич Анна Михайловна; БГЭУ: 4/313; (Цифровые технологии представления данных); 24 ДКР-124 ДКУ-1; (лекции); неделя: 6","БГЭУ: 4/313","True"
"ЗАМ; БГЭУ: 2/402; (ЯS); 23 ДЦИ-21; (Лаб-11); неделя: 6","10/08/2025","14:35","10/08/2025","15:55","False","Зеневич Анна Михайловна; БГЭУ: 2/402; (Язык SQL); 23 ДЦИ-21; (Лабораторные занятия); неделя: 6","БГЭУ: 2/402","True"
"ЗАМ; БГЭУ: 2/402; (ЯS); 23 ДЦИ-11; (Лаб-11); неделя: 6","10/08/2025","16:05","10/08/2025","17:25","False","Зеневич Анна Михайловна; БГЭУ: 2/402; (Язык SQL); 23 ДЦИ-11; (Лабораторные занятия); неделя: 6","БГЭУ: 2/402","True"
"ЗАМ; БГЭУ: 2/218; (ЯS); 23 ДЦС-11; (Лаб-11); неделя: 6","10/08/2025","17:45","10/08/2025","19:05","False","Зеневич Анна Михайловна; БГЭУ: 2/218; (Язык SQL); 23 ДЦС-11; (Лабораторные занятия); неделя: 6","БГЭУ: 2/218","True"
"ЗАМ; БГЭУ: 2/218; (ЯS); 23 ДЦС-12; (Лаб-11); неделя: 6","10/09/2025","13:05","10/09/2025","14:25","False","Зеневич Анна Михайловна; БГЭУ: 2/218; (Язык SQL); 23 ДЦС-12; (Лабораторные занятия); неделя: 6","БГЭУ: 2/218","True"
"ЗАМ; БГЭУ: 2/405; (ЯS); 23 ДЦИ-22; (Лаб-9); неделя: 6","10/09/2025","14:35","10/09/2025","15:55","False","Зеневич Анна Михайловна; БГЭУ: 2/405; (Язык SQL); 23 ДЦИ-22; (Лабораторные занятия); неделя: 6","БГЭУ: 2/405","True"
"ЗАМ; БГЭУ: 2/301; (ЯS); 23 ДЦИ-12; (Лаб-11); неделя: 6","10/09/2025","16:05","10/09/2025","17:25","False","Зеневич Анна Михайловна; БГЭУ: 2/301; (Язык SQL); 23 ДЦИ-12; (Лабораторные занятия); неделя: 6","БГЭУ: 2/301","True"
"ЗАМ; БГЭУ: 3/233; (ЯS); 23 ДЦИ-1,223 ДЦС-1; (лек-5); неделя: 6","10/09/2025","17:45","10/09/2025","19:05","False","Зеневич Анна Михайловна; БГЭУ: 3/233; (Язык SQL); 23 ДЦИ-1,223 ДЦС-1; (лекции); неделя: 6","БГЭУ: 3/233","True"
"ЗАМ; БГЭУ: 2/406; (ИЛЯБД); 25ДЭ04; (лек-10); неделя: 7","10/13/2025","17:45","10/13/2025","19:05","False","Зеневич Анна Михайловна; БГЭУ: 2/406; (Информационно-логические языки баз данных); 25ДЭ04; (лекции); неделя: 7","БГЭУ: 2/406","True"
"ЗАМ; БГЭУ: 2/406; (ИЛЯБД); 25ДЭ04; (лаб-11); неделя: 7","10/13/2025","19:15","10/13/2025","20:35","False","Зеневич Анна Михайловна; БГЭУ: 2/406; (Информационно-логические языки баз данных); 25ДЭ04; (лабораторные занятия); неделя: 7","БГЭУ: 2/406","True"
